party,deals,usd_mm_full_credit,mw
Morgan Stanley,7,42337,727
JPMorgan,5,31000,657
Goldman Sachs,4,45290,960
MUFG,2,9800,2200
Northland Securities,2,390,200
DH Capital,1,15000,0
Barclays,1,15000,0
Wells Fargo,1,15000,0
Citi,1,15000,0
KKR,1,15000,0
Revere Securities,1,4000,77
Paul Hastings LLP,1,4000,77
Sidley Austin LLP,1,4000,77
Guggenheim Securities Europe,1,4000,800
Slaughter and May,1,4000,800
The Bank of New York Mellon,1,3507,260
Cantor Fitzgerald &,1,1250,110
Cohen & Company Capital Markets,1,1250,110
Canaccord Genuity,1,1250,110
Broadhaven,1,941,1500
Davis Polk & Wardwell LLP,1,830,39
Cooley LLP,1,830,39
Lowenstein Sandler LLP,1,100,0
Latham & Watkins LLP,1,100,0
Sustrio,1,2,200
Siemens PTI,1,0,100
MDM,1,0,55
JLL,1,0,1000
"Paul, Weiss, Rifkind, Wharton & Garrison LLP",1,0,1000
Katten Muchin Rosenman LLP,1,0,285
CBRE,1,0,200
Duos Energy,1,0,0
AI Capital Mineco Limited,1,0,95
Milbank,1,0,60
