state,deals,mw,usd_mm
Texas,129,32268,138872
North Dakota,24,5166,56483
Pennsylvania,12,3663,1468
Ohio,9,3112,2877
New York,21,2562,22967
Kansas,2,2144,2394
Wyoming,3,1908,220
Kentucky,13,1764,15555
Virginia,20,1400,9064
Louisiana,6,1400,27850
Oklahoma,9,1296,7568
Washington,3,800,13333
Wisconsin,2,800,13333
Georgia,21,791,25367
Nevada,5,750,2750
North Carolina,14,749,9008
Indiana,2,733,5
Nebraska,3,580,0
Colorado,6,528,1268
California,5,468,105
Maryland,4,385,9640
New Mexico,3,290,180
Alabama,5,261,4343
West Virginia,2,252,7
Montana,2,170,0
New Jersey,2,126,0
South Carolina,4,80,633
Utah,1,50,0
Michigan,4,40,4950
Tennessee,1,37,417
Mississippi,1,35,13
Arizona,2,26,1914
Illinois,6,24,2278
Arkansas,2,16,35
Minnesota,4,15,133
Iowa,2,1,44
Oregon,2,0,214
Massachusetts,2,0,15
Florida,1,0,15
