deal_type,short,deals,usd_mm,mw
Lease,Lease,47,212954,13306
Acquisition,Acquisition,37,38538,7211
Joint Venture,Joint venture,34,36698,16472
Hosting/Colocation Agreement,Hosting / colocation,27,39564,2722
Debt Financing,Debt financing,25,42204,11222
Other,Other,18,39013,5522
Sale/Divestiture,Sale / divestiture,18,5006,1082
Power/Interconnection Agreement,Power / interconnection,16,3101,7986
Land Acquisition,Land purchase,15,232,4732
Development Agreement,Development,13,1570,3942
Power Purchase Agreement,PPA,13,705,9342
Equity Financing,Equity financing,9,7849,1559
SPAC Merger,SPAC merger,9,14084,1387
