party,deals,usd_mm_full_credit,mw
Macquarie,7,20490,1950
Coinbase,3,7000,2450
MUFG,3,3526,3700
Generate Capital,3,153,188
Goldman Sachs,2,8590,395
Two Prime,2,7000,2245
Keystone,2,1726,3500
Beal Bank,2,1726,3500
Yorkville,2,1726,3500
FalconX,1,9800,352
Morgan Stanley,1,9100,191
Lenders on Schedule 2.01,1,8500,0
JPMorgan,1,7000,245
Deutsche Bank,1,4500,526
"Wilmington Savings Fund Society, FSB",1,3300,0
Sona Asset Management (US),1,2800,300
Keystone National / Cape Commercial Finance,1,1800,200
CSG Investments / Beal Bank USA,1,1800,200
FNBO,1,788,200
NYDIG,1,100,35
RBC,1,44,0
Celsius Mining,1,20,100
SFO IDF,1,15,300
Soluna,1,0,166
Cyxtera lenders,1,0,251
