party,deals,usd_mm_full_credit,mw
CoreWeave,25,82047,6894
Fluidstack,17,95740,4962
Core42,7,43450,2186
Amazon / AWS,6,11650,5700
Microsoft,4,26400,2060
AMD,3,14636,580
Galaxy Digital,3,100,218
Equinix,3,50,1195
Google,3,0,150
unnamed hyperscale customers,3,0,169
OpenAI,2,60000,3150
unnamed U.S. based high investment-grade hyperscaler,2,27700,1110
NVIDIA,2,6800,120
Applied Digital,2,2400,1630
unnamed U.S. investment-grade hyperscaler,2,2250,200
unnamed hyperscaler,2,617,1265
Unnamed international private equity firm,2,600,30
Crusoe,2,500,1275
undisclosed tenant,2,0,306
Canaan,2,0,3
Oracle,1,40000,2400
Anthropic,1,19000,401
"Investment-grade hyperscaler (undisclosed, in negotiations for Polaris Forge 2)",1,11000,150
Undisclosed high-investment-grade tenant,1,9800,352
Together AI,1,9700,200
Fireworks AI,1,9700,200
Leading frontier AI lab (undisclosed),1,9100,191
"Advanced Micro Devices, (AMD)",1,9100,191
unnamed HPC customer,1,8700,500
TensorWave,1,6500,222
U.S. based high investment-grade hyperscaler,1,5200,210
U.S. investment-grade hyperscaler (undisclosed),1,5000,200
Undisclosed investment-grade tenant rated AA- or higher,1,4250,352
Unnamed leading AI customer,1,2800,300
SURF,1,2500,0
Undisclosed investment-grade counterparty,1,1800,200
Undisclosed global AI Lab,1,1320,0
Customer C - affiliate of investment-grade technology company,1,1300,2200
Hatchbo,1,1300,2200
Unnamed California-based neocloud provider,1,1200,20
Cerebras Systems,1,1100,40
unnamed prospective AI compute customer,1,1000,20
Undisclosed major offtake partner,1,1000,120
"Investment-grade hyperscale tenant, unnamed",1,810,700
U.S.-based investment grade hyperscaler,1,788,200
Axe Compute,1,500,55
Nistar,1,500,55
0LAT (Zero Latency),1,500,55
Unnamed global cloud infrastructure provider,1,500,25
TeraWulf,1,500,750
Unnamed global cloud provider,1,400,20
Unnamed enterprise customer,1,260,5
Cohere,1,220,0
Unnamed prospective data center customer,1,201,1800
Unnamed investment-grade hyperscale tenant,1,200,100
unnamed S&P 100 investment-grade client,1,200,16
Hydra Host,1,176,5
Undisclosed leading hyperscaler,1,176,5
unnamed prospective HPC tenants,1,172,150
Undisclosed investment-grade tenant,1,150,1000
hyperscale customers,1,38,20
Power Champion Investment Limited,1,28,3
Compass Mining,1,20,48
Blockware,1,20,48
Unnamed existing customer,1,20,48
Celsius Mining,1,20,100
Foundry Digital,1,20,100
Unnamed global data center developer,1,5,0
undisclosed global hyperscalers,1,0,110
Sabey Data Centers,1,0,150
Atlas Power,1,0,150
Quantica Infrastructure,1,0,150
Advanced Micro Devices,1,0,500
Affiliate of unnamed investment-grade global technology company,1,0,600
Unnamed LOI counterparty,1,0,25
Switch,1,0,150
Vantage,1,0,400
unnamed leading data center developer,1,0,400
KULR Technology,1,0,3
Undisclosed hyperscaler,1,0,60
Undisclosed leading hyperscaler data center operator,1,0,60
BITMAIN,1,0,205
American Bitcoin,1,0,205
Sentinum,1,0,20
Region 16 Education Service Center,1,0,0
Cudo Ventures,1,0,95
Unnamed large US AI data center operator,1,0,300
"Region 16 School District, Amarillo TX",1,0,300
Bit Digital,1,0,6
Unnamed MOU counterparty,1,0,500
Gryphon Digital Mining,1,0,0
Core Scientific,1,0,394
Prometheus Hyperscale (formerly Wyoming Hyperscale),1,0,750
Wyoming Hyperscale,1,0,100
Diamondback Energy,1,0,100
customers not named,1,0,66
Unnamed data center hyperscalers,1,0,2200
Soluna,1,0,166
unnamed high-performance compute customer,1,0,16
Consensus Colocation PA / CTG,1,0,50
Lumen,1,0,251
customer not named,1,0,72
