party,deals,usd_mm_full_credit,mw
Applied Digital,17,73628,5920
Core Scientific,12,39500,3524
Soluna,10,120,1144
Cipher Mining,9,14240,2309
TeraWulf,8,24450,2144
Galaxy Digital,8,11507,3321
Hut 8,7,24450,1809
IREN,5,29800,2120
Equinix,5,15000,169
Fermi,5,10176,4922
BlockchAIn Digital Infrastructure,5,1000,140
Digital Realty,4,12500,20
Riot Platforms,4,9776,353
New Era Energy & Digital,3,360,1400
Iron Mountain,3,0,248
Texas Critical Data Centers,3,0,2250
Mawson Hosting,3,0,50
DigitalBridge,2,40539,2424
Vantage,2,40000,2800
Black Pearl Compute,2,6310,1000
Blockfusion USA,2,3250,385
Hyperscale Data,2,2200,40
Alliance Cloud Services,2,2200,40
Texas Tech University System,2,1950,1200
SharonAI,2,1320,72
Digi Power X,2,1100,50
"Duos Technologies , / Duos Edge AI",2,676,60
MARA,2,168,1400
Bit Digital,2,89,99
Convergence Compute,2,20,1000
CalEthos,2,15,720
DC Estate Solutions Cayman Limited,2,12,5350
Energy Vault,2,0,125
NEXTDC Limited,2,0,1000
Cerebras Systems,1,20000,750
FS AB,1,9500,168
CoreWeave,1,8500,0
La Lupa Data,1,6700,450
Beacon Point DC,1,4250,352
Cartica Acquisitions Partners,1,4200,33
Cartica Acquisition Partners,1,4184,42
TECfusions,1,4000,77
Cayuga site landlord,1,3700,200
Blockfusion Digital Infrastructure,1,2800,300
Base Electron,1,2400,1200
Solaris Energy Infrastructure,1,1300,2200
Stingray Compute,1,810,700
Axe Compute,1,260,5
HIVE Digital Technologies / BUZZ High Performance Computing,1,220,0
Bell Canada / Bell AI Fabric,1,220,0
Raylan Data,1,200,0
HST Technologies,1,100,200
JV Company (Delaware ),1,100,200
One Blockchain / BlockchAIn,1,100,5
White Fiber,1,45,99
Enovum Data Center and subsidiaries,1,44,0
WhiteFiber,1,44,0
Vulcan Infrastructure & Power (f/k/a Greenidge Generation ),1,39,104
CyrusOne,1,38,20
Azio AI,1,28,3
Cardinal Data Power,1,20,750
Hunt Properties,1,20,750
Mawson Infrastructure,1,20,100
Luna Squares,1,20,100
Hallador Energy Company,1,5,0
HIVE Digital Technologies,1,3,50
BUZZ High Performance Computing,1,3,50
StratGrid,1,2,200
Ionic Digital,1,0,234
1606,1,0,55
Meta,1,0,1000
Big Digital Energy,1,0,300
Unnamed development partner,1,0,0
Bell Canada AI Fabric,1,0,200
HIVE Bermuda 2026,1,0,200
Long Ridge Energy & Power,1,0,505
SDC-Austin,1,0,590
City of Denton,1,0,590
Dalton-Whitfield County Joint Development Authority,1,0,590
VCV Digital,1,0,25
STACK,1,0,0
Blue Owl Digital Infrastructure Trust,1,0,0
Starwood,1,0,1000
Undisclosed HPC development partner,1,0,3
Sharon AI,1,0,1000
Somerset Operating Company,1,0,200
Takanock,1,0,400
Switch,1,0,400
Montana OP,1,0,20
Duos Technologies / Duos Edge AI,1,0,0
Fortress Investment,1,0,300
Jet.AI,1,0,50
La Lupa,1,0,60
Roth CH Acquisition V,1,0,90
Southern Ohio Diversification Initiative,1,0,100
SDI SL Borrowing - 1,1,0,166
Stronghold Digital Mining,1,0,0
DI Issuer,1,0,0
LMRK DI PROPCO,1,0,0
LMRK DI PROPCO CAN-BO,1,0,0
LMRK DI CAN-RO,1,0,0
Landmark Infrastructure Partners GP,1,0,0
Landmark Infrastructure Partners,1,0,0
